queue_length,arrival_rate,departure_rate,time_of_day,is_bottleneck
35,6.47,0.87,9,TRUE
28,4.21,2.13,9,TRUE
40,0.57,6.53,12,FALSE
6,2.41,6.52,17,FALSE
40,8.86,7.36,17,FALSE
38,4.27,1.67,20,TRUE
23,0.54,7.39,15,FALSE
19,7.44,6.84,7,FALSE
23,7.96,4.55,8,TRUE
26,0.93,1.39,21,FALSE
17,1.24,3.23,18,FALSE
24,0.26,5.58,11,FALSE
26,7.73,1.29,18,TRUE
11,5.26,5.6,16,FALSE
37,2.84,5.78,14,FALSE
23,2.5,6.7,8,FALSE
4,7.2,3.21,12,FALSE
16,7.33,0.06,19,TRUE
3,6.36,8.44,13,FALSE
25,7.83,4.71,20,TRUE
9,7.48,3.48,19,FALSE
29,1.64,9.89,8,FALSE
30,3.95,5.07,20,FALSE
46,6.41,5.7,17,FALSE
50,6.6,8.65,19,FALSE
44,7.21,5.59,7,TRUE
42,6.23,8.04,20,FALSE
49,0.97,3.96,18,FALSE
18,5.7,9.83,9,FALSE
30,4.48,0.53,7,TRUE
38,7.81,3.38,14,TRUE
2,0.36,8.53,7,FALSE
33,3.17,7.94,14,FALSE
9,0.43,0.4,9,FALSE
36,6.07,8.1,18,FALSE
39,3.59,3.85,13,FALSE
46,0.74,4.06,17,FALSE
13,7.49,1.63,17,TRUE
43,3.68,7.64,19,FALSE
14,6.43,5.43,11,FALSE
46,9.0,9.35,15,FALSE
21,7.91,0.51,13,TRUE
0,9.33,8.29,17,FALSE
30,3.55,0.61,11,TRUE
50,6.43,9.6,19,FALSE
28,1.74,0.32,8,FALSE
13,5.12,3.91,17,FALSE
20,3.17,7.43,21,FALSE
16,7.23,0.77,16,TRUE
10,3.17,0.66,14,FALSE
42,8.73,1.61,12,TRUE
1,9.38,2.68,16,FALSE
18,3.49,0.14,16,TRUE
12,0.49,8.99,9,FALSE
24,4.21,8.25,12,FALSE
17,1.52,2.61,20,FALSE
27,7.45,1.26,7,TRUE
6,8.63,4.92,8,FALSE
37,1.61,3.7,18,FALSE
18,3.7,7.08,10,FALSE
47,1.08,6.1,17,FALSE
27,8.91,4.51,8,TRUE
38,7.34,2.72,16,TRUE
7,6.14,0.59,8,FALSE
3,4.85,6.73,7,FALSE
37,8.15,7.87,16,FALSE
45,0.27,2.97,17,FALSE
9,4.92,0.9,21,FALSE
42,3.13,7.05,21,FALSE
12,2.37,1.93,19,FALSE
17,8.99,5.99,7,TRUE
40,5.94,4.11,9,TRUE
9,3.34,7.57,15,FALSE
35,7.96,3.09,17,TRUE
3,7.58,7.63,8,FALSE
19,4.98,1.35,20,TRUE
29,3.34,3.64,10,FALSE
36,0.9,7.23,8,FALSE
39,8.79,2.46,18,TRUE
49,7.51,3.33,13,TRUE
24,3.08,3.07,14,FALSE
10,4.06,0.04,14,FALSE
40,0.84,2.43,14,FALSE
20,8.46,4.32,16,TRUE
24,8.27,6.14,16,TRUE
11,7.74,1.71,16,TRUE
18,6.06,4.84,21,FALSE
26,8.01,8.54,17,FALSE
20,8.08,6.92,8,FALSE
14,6.2,0.68,8,TRUE
45,3.57,0.05,11,TRUE
5,5.5,7.85,20,FALSE
3,4.54,0.03,7,FALSE
26,0.02,0.46,16,FALSE
36,7.24,9.95,15,FALSE
14,8.9,9.0,12,FALSE
32,7.06,8.71,20,FALSE
23,3.05,7.03,12,FALSE
36,1.53,5.05,9,FALSE
20,2.04,3.49,10,FALSE
47,9.91,3.75,12,TRUE
11,0.48,8.87,16,FALSE
43,4.53,9.18,14,FALSE
49,2.08,4.16,10,FALSE
41,5.1,3.17,10,TRUE
10,0.28,3.48,18,FALSE
40,6.2,5.03,18,FALSE
41,9.79,7.65,14,TRUE
49,0.78,0.81,19,FALSE
23,1.27,5.19,9,FALSE
22,3.84,9.86,12,FALSE
10,5.39,7.37,9,FALSE
33,4.62,4.17,21,FALSE
5,0.87,3.19,13,FALSE
6,4.92,7.46,8,FALSE
10,9.25,4.42,21,FALSE
1,1.26,0.1,21,FALSE
30,7.6,5.83,17,TRUE
36,4.08,2.33,19,TRUE
29,2.22,4.37,21,FALSE
21,5.51,7.67,15,FALSE
31,5.18,0.43,10,TRUE
47,2.62,4.13,8,FALSE
43,3.46,1.25,8,TRUE
1,8.32,6.93,11,FALSE
49,4.67,2.41,11,TRUE
12,5.6,4.96,21,FALSE
4,1.34,2.25,18,FALSE
24,5.3,7.85,11,FALSE
20,4.57,0.73,17,TRUE
10,7.71,0.03,21,FALSE
24,1.45,0.11,21,FALSE
39,1.59,7.07,15,FALSE
12,3.28,3.49,9,FALSE
12,1.17,4.2,19,FALSE
28,6.69,9.75,14,FALSE
6,1.19,2.62,18,FALSE
44,2.28,8.37,14,FALSE
35,4.95,4.85,21,FALSE
8,4.92,1.03,11,FALSE
15,3.69,4.17,16,FALSE
7,2.3,3.39,15,FALSE
33,7.0,2.67,11,TRUE
12,0.02,9.27,19,FALSE
37,9.84,2.57,19,TRUE
1,3.16,8.3,11,FALSE
17,1.71,4.44,11,FALSE
8,0.11,5.02,11,FALSE
5,9.82,2.42,20,FALSE
12,1.08,5.18,8,FALSE
43,9.47,6.37,17,TRUE
28,8.08,6.22,10,TRUE
5,3.73,9.99,8,FALSE
46,0.12,0.38,11,FALSE
19,7.59,2.6,8,TRUE
7,3.24,6.14,10,FALSE
43,3.64,5.23,7,FALSE
37,0.28,1.44,20,FALSE
19,4.57,4.58,7,FALSE
28,3.51,8.0,10,FALSE
39,9.13,7.61,10,TRUE
50,0.53,4.49,12,FALSE
41,0.4,6.39,17,FALSE
27,3.97,6.05,20,FALSE
43,4.88,5.11,7,FALSE
37,6.75,2.07,18,TRUE
15,9.68,7.29,16,TRUE
49,7.53,2.23,8,TRUE
1,6.83,6.38,8,FALSE
12,4.85,0.25,15,TRUE
3,1.15,3.72,12,FALSE
14,7.16,8.3,7,FALSE
14,8.22,0.05,13,TRUE
4,4.48,6.49,8,FALSE
32,0.17,6.75,7,FALSE
15,1.25,2.43,20,FALSE
21,4.45,0.93,7,TRUE
21,6.53,9.31,13,FALSE
2,5.63,0.91,12,FALSE
22,2.16,5.05,16,FALSE
50,3.21,1.3,18,TRUE
24,1.98,8.05,20,FALSE
18,6.51,7.17,7,FALSE
9,6.56,0.87,17,FALSE
30,6.83,3.17,10,TRUE
1,1.11,1.26,13,FALSE
23,6.04,3.34,14,TRUE
7,0.22,0.86,16,FALSE
25,0.9,0.77,17,FALSE
48,1.1,3.27,7,FALSE
8,8.47,5.09,12,FALSE
6,6.71,9.41,13,FALSE
0,1.46,2.18,17,FALSE
17,9.79,9.46,17,FALSE
42,1.46,9.34,18,FALSE
42,5.8,1.01,18,TRUE
11,8.48,5.32,16,TRUE
40,6.09,4.85,11,FALSE
45,3.19,2.1,12,FALSE
27,4.9,2.02,18,TRUE
15,2.94,1.51,21,FALSE
35,4.72,8.63,18,FALSE
47,4.79,9.43,10,FALSE
39,5.79,7.7,18,FALSE
22,7.37,5.29,10,TRUE
30,3.52,4.99,13,FALSE
30,3.23,7.49,18,FALSE
0,7.38,2.22,13,FALSE
22,9.57,7.94,10,TRUE
23,3.45,0.05,17,TRUE
38,4.68,4.0,13,FALSE
31,2.88,7.78,15,FALSE
28,9.29,8.38,19,FALSE
15,3.89,1.54,9,TRUE
2,3.51,3.57,8,FALSE
17,3.03,2.47,16,FALSE
15,8.83,7.17,11,TRUE
18,0.14,2.48,18,FALSE
34,7.29,7.72,14,FALSE
5,1.29,5.23,10,FALSE
22,4.96,3.67,14,FALSE
36,4.59,8.83,7,FALSE
46,3.58,8.32,7,FALSE
13,7.12,2.04,16,TRUE
23,1.29,7.98,11,FALSE
45,8.52,0.96,13,TRUE
44,9.87,6.76,21,TRUE
45,4.57,7.5,7,FALSE
6,9.7,5.52,18,FALSE
31,1.37,7.5,12,FALSE
27,9.02,6.3,10,TRUE
36,0.23,9.58,10,FALSE
50,0.17,1.22,10,FALSE
31,9.52,6.82,19,TRUE
18,9.38,3.47,14,TRUE
2,0.32,3.68,18,FALSE
1,3.53,1.72,13,FALSE
26,7.94,1.78,13,TRUE
21,2.31,5.75,12,FALSE
36,8.91,7.77,11,FALSE
37,1.61,4.11,12,FALSE
17,0.65,1.45,19,FALSE
31,5.99,1.09,21,TRUE
39,6.07,8.8,19,FALSE
36,3.9,9.72,19,FALSE
42,9.6,7.62,11,TRUE
33,1.02,2.29,16,FALSE
46,3.03,0.44,13,TRUE
0,7.7,0.57,19,FALSE
13,9.92,6.66,7,TRUE
50,7.29,7.76,9,FALSE
19,0.44,1.58,15,FALSE
45,1.19,1.12,13,FALSE
18,6.46,5.3,11,FALSE
49,8.26,1.5,14,TRUE
30,6.08,5.1,8,FALSE
32,7.46,2.62,20,TRUE
10,2.03,7.9,12,FALSE
43,2.87,2.77,16,FALSE
22,0.83,5.18,14,FALSE
37,1.92,6.24,15,FALSE
26,4.66,5.38,17,FALSE
20,2.75,3.82,21,FALSE
12,8.81,8.63,15,FALSE
11,3.45,6.97,12,FALSE
6,0.51,5.42,10,FALSE
46,8.89,4.5,7,TRUE
49,5.48,1.18,13,TRUE
35,5.78,0.46,16,TRUE
37,9.32,8.27,10,FALSE
50,8.41,7.95,14,FALSE
23,8.79,7.72,16,FALSE
7,9.12,8.92,13,FALSE
41,9.88,7.79,9,TRUE
43,5.47,9.25,13,FALSE
0,3.1,8.87,21,FALSE
0,1.99,0.14,10,FALSE
8,5.58,7.68,12,FALSE
3,8.41,0.54,9,FALSE
44,0.92,3.77,20,FALSE
47,7.15,0.91,12,TRUE
17,7.2,3.88,19,TRUE
49,2.63,6.72,17,FALSE
39,5.9,4.86,18,FALSE
44,5.52,1.47,15,TRUE
10,9.22,6.09,10,FALSE
0,9.38,5.65,10,FALSE
2,8.55,0.62,7,FALSE
15,2.38,2.27,12,FALSE
26,5.64,7.47,8,FALSE
41,8.44,1.1,15,TRUE
11,0.58,5.38,11,FALSE
28,5.09,2.17,21,TRUE
37,9.76,1.91,18,TRUE
49,5.07,1.24,15,TRUE
15,6.25,6.04,15,FALSE
22,9.56,0.13,20,TRUE
33,3.49,1.76,10,TRUE
48,2.16,6.46,9,FALSE
17,9.19,6.78,18,TRUE
37,0.34,1.68,8,FALSE
15,0.86,9.22,10,FALSE
8,6.58,7.89,11,FALSE
30,4.08,0.05,13,TRUE
7,1.55,4.14,15,FALSE
45,5.72,1.84,20,TRUE
19,0.68,5.24,17,FALSE
1,2.53,4.64,8,FALSE
2,2.58,5.52,16,FALSE
43,9.09,0.58,8,TRUE
14,3.56,5.46,12,FALSE
48,3.47,2.83,13,FALSE
35,9.5,8.06,17,FALSE
42,5.94,6.97,16,FALSE
22,4.85,4.2,14,FALSE
2,5.63,9.64,14,FALSE
7,0.45,0.45,10,FALSE
36,5.62,7.89,13,FALSE
12,8.38,7.39,19,FALSE
2,5.72,3.92,8,FALSE
45,4.32,6.86,11,FALSE
38,9.67,5.85,19,TRUE
12,6.78,6.32,15,FALSE
43,6.48,2.51,12,TRUE
40,0.63,2.12,9,FALSE
30,5.9,9.99,18,FALSE
0,9.17,6.72,14,FALSE
22,7.88,8.72,14,FALSE
47,6.12,1.41,14,TRUE
14,8.28,9.26,16,FALSE
17,3.16,6.52,9,FALSE
25,10.0,2.17,19,TRUE
13,1.94,8.46,15,FALSE
10,6.64,0.71,21,FALSE
4,1.89,4.18,17,FALSE
18,0.48,7.12,8,FALSE
26,4.54,1.89,20,TRUE
24,1.63,5.63,9,FALSE
43,9.52,2.87,15,TRUE
30,1.44,3.28,10,FALSE
28,1.81,7.48,9,FALSE
27,8.49,8.44,20,FALSE
5,5.51,5.46,12,FALSE
0,4.84,6.27,13,FALSE
2,3.45,1.69,16,FALSE
42,7.51,5.95,8,TRUE
20,5.65,5.22,18,FALSE
46,1.84,6.88,7,FALSE
41,5.4,7.6,16,FALSE
35,3.05,0.71,13,TRUE
6,3.58,7.75,8,FALSE
20,7.21,9.48,9,FALSE
33,8.6,4.0,14,TRUE
6,5.52,1.86,8,FALSE
2,3.12,3.95,13,FALSE
10,8.45,3.29,9,FALSE
3,3.59,4.8,7,FALSE
27,9.37,3.02,9,TRUE
11,5.83,2.95,14,TRUE
11,6.57,9.08,13,FALSE
45,7.17,8.79,8,FALSE
31,1.59,8.94,14,FALSE
12,4.57,9.55,15,FALSE
27,4.17,9.75,9,FALSE
3,6.2,7.13,20,FALSE
13,2.2,8.92,20,FALSE
7,5.15,4.24,17,FALSE
1,6.69,9.02,12,FALSE
9,0.32,6.08,13,FALSE
1,0.17,8.2,12,FALSE
35,6.98,2.1,13,TRUE
30,1.95,2.1,20,FALSE
40,3.31,7.78,8,FALSE
43,8.98,7.92,21,FALSE
44,2.1,6.03,7,FALSE
27,3.34,3.17,12,FALSE
3,2.03,9.52,21,FALSE
0,8.41,5.04,14,FALSE
4,3.95,5.37,21,FALSE
17,9.85,6.74,10,TRUE
25,3.45,1.02,11,TRUE
46,2.32,8.7,19,FALSE
16,5.97,4.69,13,FALSE
23,4.32,1.78,14,TRUE
12,1.88,7.31,11,FALSE
26,6.88,8.14,11,FALSE
12,2.93,0.85,7,TRUE
47,5.34,2.61,14,TRUE
44,7.83,2.2,16,TRUE
18,4.87,8.93,19,FALSE
36,4.9,9.94,15,FALSE
18,5.57,0.37,7,TRUE
39,9.72,6.07,16,TRUE
8,6.15,0.57,11,FALSE
40,9.4,7.82,19,TRUE
45,4.58,7.14,8,FALSE
49,4.28,5.48,14,FALSE
9,7.74,1.07,15,FALSE
27,5.91,0.46,18,TRUE
12,4.8,5.13,10,FALSE
33,0.16,4.39,19,FALSE
44,6.15,9.02,21,FALSE
38,9.32,1.76,12,TRUE
0,1.33,1.7,14,FALSE
13,5.67,0.57,19,TRUE
9,4.83,3.07,11,FALSE
47,5.41,2.94,9,TRUE
23,0.85,2.5,14,FALSE
17,2.3,7.25,20,FALSE
22,3.23,9.33,17,FALSE
41,6.3,5.98,10,FALSE
34,6.4,5.03,19,FALSE
41,7.32,3.28,13,TRUE
45,3.65,3.29,16,FALSE
37,6.26,7.87,19,FALSE
40,2.59,8.94,21,FALSE
19,2.96,6.45,12,FALSE
49,7.9,8.56,11,FALSE
11,6.06,1.37,18,TRUE
3,4.24,6.53,7,FALSE
17,7.85,3.77,21,TRUE
16,6.22,9.44,8,FALSE
35,7.36,3.2,19,TRUE
46,3.85,3.44,20,FALSE
8,8.89,2.87,15,FALSE
45,2.16,7.19,10,FALSE
0,4.87,4.12,18,FALSE
18,8.36,1.31,8,TRUE
37,5.09,5.77,15,FALSE
45,7.1,2.21,10,TRUE
33,5.39,2.48,14,TRUE
43,9.31,0.79,15,TRUE
4,0.69,4.01,20,FALSE
5,4.6,7.53,14,FALSE
32,4.27,9.45,11,FALSE
47,7.49,2.84,19,TRUE
2,9.17,4.25,13,FALSE
1,9.27,7.05,17,FALSE
28,3.65,5.57,21,FALSE
43,5.25,7.73,20,FALSE
1,8.11,1.42,8,FALSE
27,5.02,7.01,20,FALSE
14,1.89,4.95,7,FALSE
47,4.75,5.32,8,FALSE
28,7.34,0.6,10,TRUE
25,2.14,9.88,18,FALSE
18,7.24,8.39,19,FALSE
31,1.25,9.85,8,FALSE
34,0.32,4.12,18,FALSE
17,6.03,9.75,12,FALSE
1,5.74,0.66,15,FALSE
9,4.63,1.72,14,FALSE
27,7.54,8.73,14,FALSE
7,0.36,1.64,21,FALSE
9,8.92,4.35,10,FALSE
44,7.19,0.28,10,TRUE
39,8.28,2.12,18,TRUE
10,9.84,4.87,13,FALSE
45,0.05,3.93,19,FALSE
39,0.44,7.03,15,FALSE
42,8.68,0.23,9,TRUE
26,7.72,9.87,12,FALSE
18,3.23,7.16,9,FALSE
47,4.85,5.15,19,FALSE
35,5.98,7.46,20,FALSE
28,0.31,6.9,18,FALSE
11,5.63,2.22,19,TRUE
12,9.69,8.19,17,FALSE
17,9.74,1.36,20,TRUE
42,8.33,8.67,12,FALSE
37,2.77,9.39,18,FALSE
4,6.99,3.85,11,FALSE
17,3.05,6.25,9,FALSE
31,7.52,6.12,11,FALSE
42,5.79,0.34,10,TRUE
23,8.66,3.07,20,TRUE
14,3.69,5.47,19,FALSE
32,4.73,1.86,16,TRUE
20,3.35,5.85,8,FALSE
11,0.07,5.35,18,FALSE
30,7.82,8.77,10,FALSE
11,8.18,5.55,12,TRUE
40,0.11,4.6,12,FALSE
10,4.83,0.97,10,FALSE
17,4.3,6.76,19,FALSE
43,3.83,5.37,9,FALSE
27,6.27,8.3,13,FALSE
26,2.89,9.19,15,FALSE
43,8.4,8.5,18,FALSE
31,6.15,2.33,17,TRUE
13,6.58,0.58,16,TRUE
28,9.16,4.12,14,TRUE
13,1.82,2.97,16,FALSE
26,0.29,4.65,13,FALSE
0,6.97,9.16,17,FALSE
29,0.51,8.7,20,FALSE
30,5.09,5.14,21,FALSE
38,9.83,8.96,18,FALSE
49,1.22,1.71,10,FALSE
1,9.81,3.8,10,FALSE
33,7.67,3.37,13,TRUE
42,5.9,1.46,14,TRUE
29,8.87,4.66,18,TRUE
35,8.53,0.7,18,TRUE
21,4.17,2.63,12,TRUE
47,6.8,2.37,19,TRUE
4,3.12,1.23,15,FALSE
21,0.07,5.16,9,FALSE
20,4.31,1.26,21,TRUE
13,0.14,8.65,15,FALSE
39,0.37,1.81,17,FALSE
2,4.61,4.13,8,FALSE
3,5.19,6.76,11,FALSE
4,6.41,5.39,9,FALSE
30,5.48,8.77,9,FALSE
29,7.61,9.27,19,FALSE
49,1.0,0.31,18,FALSE
48,0.79,8.26,20,FALSE
42,1.53,9.27,8,FALSE
5,2.9,9.1,21,FALSE
35,7.96,0.65,7,TRUE
30,2.07,1.36,21,FALSE
10,1.85,7.29,12,FALSE
22,7.16,9.67,7,FALSE
21,1.95,1.94,7,FALSE
42,1.26,3.69,19,FALSE
4,4.27,3.91,19,FALSE
3,6.32,2.03,10,FALSE
27,6.81,5.15,16,TRUE
35,6.08,3.29,16,TRUE
31,0.5,3.79,12,FALSE
33,7.18,8.36,17,FALSE
21,8.87,9.86,19,FALSE
32,2.1,6.3,15,FALSE
37,1.13,2.85,14,FALSE
2,1.34,1.3,7,FALSE
49,6.66,5.26,8,FALSE
15,4.51,3.81,14,FALSE
17,7.45,6.17,16,FALSE
6,5.69,3.7,19,FALSE
3,3.51,9.9,12,FALSE
17,7.33,3.64,18,TRUE
39,2.0,2.78,19,FALSE
45,1.84,8.34,12,FALSE
22,4.94,4.08,13,FALSE
42,6.21,3.22,8,TRUE
49,5.04,5.41,14,FALSE
44,2.28,5.48,21,FALSE
34,9.76,4.91,14,TRUE
10,4.37,5.48,21,FALSE
2,2.39,7.89,18,FALSE
19,6.16,5.41,21,FALSE
39,9.63,2.68,14,TRUE
30,8.59,8.76,8,FALSE
1,8.58,0.86,18,FALSE
45,9.85,5.1,21,TRUE
23,8.4,7.06,10,FALSE
20,0.05,3.02,7,FALSE
49,0.64,6.4,15,FALSE
3,4.45,8.03,17,FALSE
20,2.03,6.96,15,FALSE
24,9.28,8.42,7,FALSE
43,0.38,3.8,17,FALSE
26,5.91,2.07,7,TRUE
48,6.91,8.38,13,FALSE
33,5.19,0.78,9,TRUE
17,4.84,2.82,15,TRUE
30,8.19,1.67,21,TRUE
19,4.26,1.32,18,TRUE
32,2.81,4.36,13,FALSE
33,3.65,1.8,18,TRUE
14,2.16,4.94,8,FALSE
14,0.34,3.09,12,FALSE
25,4.58,5.36,7,FALSE
5,1.99,3.88,15,FALSE
37,7.26,3.13,10,TRUE
28,1.16,7.03,9,FALSE
50,6.02,2.05,13,TRUE
6,1.93,2.14,17,FALSE
40,6.85,4.48,7,TRUE
41,3.08,6.22,20,FALSE
20,8.78,4.92,15,TRUE
42,0.64,9.55,9,FALSE
47,7.81,7.81,11,FALSE
16,9.46,6.09,8,TRUE
45,9.56,8.58,20,FALSE
45,5.42,4.67,10,FALSE
10,8.66,0.24,11,FALSE
19,8.57,8.08,12,FALSE
15,9.96,4.72,20,TRUE
7,7.67,3.86,9,FALSE
28,3.48,1.53,12,TRUE
8,6.01,9.19,10,FALSE
9,3.55,8.66,21,FALSE
7,7.82,9.64,15,FALSE
3,4.81,1.36,15,FALSE
16,7.09,5.75,7,FALSE
35,5.58,1.28,13,TRUE
31,8.2,2.92,9,TRUE
35,9.82,4.46,11,TRUE
16,9.23,7.83,16,FALSE
40,4.16,1.52,18,TRUE
31,7.82,3.75,10,TRUE
8,1.94,2.28,17,FALSE
30,5.09,6.32,14,FALSE
23,5.02,4.67,7,FALSE
39,6.59,3.34,11,TRUE
34,8.21,6.75,12,FALSE
13,4.19,9.8,13,FALSE
33,3.55,8.58,20,FALSE
30,1.5,2.17,11,FALSE
23,2.0,3.95,21,FALSE
40,1.19,9.76,21,FALSE
1,3.25,1.77,13,FALSE
18,9.24,1.2,7,TRUE
22,8.79,1.61,13,TRUE
40,6.33,7.58,7,FALSE
40,0.83,7.66,11,FALSE
20,2.05,0.3,13,TRUE
33,8.15,3.84,21,TRUE
41,0.99,3.39,21,FALSE
23,3.16,8.02,10,FALSE
22,9.68,8.07,10,TRUE
23,6.55,2.49,16,TRUE
6,2.72,4.25,18,FALSE
38,6.26,4.67,14,TRUE
16,0.42,2.83,15,FALSE
11,0.11,1.79,21,FALSE
10,8.49,6.83,19,FALSE
46,2.25,5.9,8,FALSE
39,3.03,2.63,16,FALSE
41,6.68,8.49,11,FALSE
38,6.69,1.13,8,TRUE
1,9.48,2.49,13,FALSE
5,1.43,5.65,7,FALSE
44,9.22,4.13,8,TRUE
4,2.13,3.66,11,FALSE
48,2.66,4.06,11,FALSE
7,2.69,0.42,14,FALSE
33,9.79,0.17,9,TRUE
26,4.84,2.63,14,TRUE
49,3.89,1.09,7,TRUE
27,2.11,1.9,8,FALSE
2,9.41,5.92,13,FALSE
27,9.35,2.59,8,TRUE
28,5.67,9.79,8,FALSE
8,7.8,1.35,17,FALSE
12,6.95,6.08,17,FALSE
2,3.21,1.44,7,FALSE
16,5.06,7.59,15,FALSE
26,3.48,3.36,7,FALSE
19,6.66,8.63,17,FALSE
3,2.6,5.2,7,FALSE
7,4.78,4.56,8,FALSE
16,1.27,5.67,8,FALSE
2,9.77,0.04,8,FALSE
8,9.64,2.02,8,FALSE
46,6.74,7.81,16,FALSE
7,1.1,1.04,20,FALSE
34,1.36,3.27,7,FALSE
38,1.29,9.88,17,FALSE
39,5.23,0.58,7,TRUE
47,4.92,1.3,9,TRUE
36,5.55,0.19,20,TRUE
21,4.59,8.37,7,FALSE
43,3.54,3.63,18,FALSE
25,7.91,8.69,17,FALSE
41,1.43,6.11,18,FALSE
8,4.74,2.85,12,FALSE
49,8.7,0.66,20,TRUE
27,8.38,5.72,11,TRUE
18,2.09,8.69,18,FALSE
32,3.4,9.96,15,FALSE
44,9.65,3.46,14,TRUE
42,9.79,5.39,17,TRUE
11,0.21,4.11,21,FALSE
4,7.79,8.28,9,FALSE
48,2.14,7.06,18,FALSE
40,7.11,7.93,10,FALSE
11,0.72,0.09,13,FALSE
44,8.12,4.15,11,TRUE
36,1.76,9.41,21,FALSE
46,1.24,7.19,20,FALSE
5,6.47,8.3,9,FALSE
26,3.43,7.5,11,FALSE
26,3.19,3.89,21,FALSE
20,1.81,3.32,15,FALSE
42,4.58,7.3,14,FALSE
16,4.23,3.74,7,FALSE
32,0.89,3.67,16,FALSE
9,6.21,5.81,19,FALSE
16,1.65,9.87,10,FALSE
23,4.26,4.65,15,FALSE
33,8.82,2.31,16,TRUE
26,3.28,0.21,9,TRUE
50,8.6,7.92,9,FALSE
36,1.08,1.64,19,FALSE
35,1.06,9.87,15,FALSE
12,2.83,1.3,17,TRUE
41,7.51,0.33,7,TRUE
41,3.8,4.05,20,FALSE
32,4.15,4.8,18,FALSE
19,9.45,5.15,15,TRUE
8,6.97,0.01,16,FALSE
8,4.73,1.42,10,FALSE
21,3.12,5.53,17,FALSE
41,0.22,8.27,8,FALSE
5,5.42,0.11,7,FALSE
6,2.78,2.2,13,FALSE
19,6.79,2.86,17,TRUE
23,8.23,3.31,7,TRUE
29,5.44,1.9,8,TRUE
16,9.25,2.43,19,TRUE
48,4.93,7.86,16,FALSE
32,3.34,2.97,17,FALSE
36,0.61,2.02,16,FALSE
7,4.36,6.8,21,FALSE
7,3.21,2.88,14,FALSE
42,0.57,0.11,8,FALSE
38,1.33,5.99,14,FALSE
19,9.84,1.9,17,TRUE
27,0.67,3.49,18,FALSE
34,9.5,5.55,8,TRUE
47,2.39,8.54,9,FALSE
6,4.1,4.15,12,FALSE
6,2.6,0.59,13,FALSE
50,8.86,7.05,15,TRUE
30,6.54,7.38,12,FALSE
31,2.49,6.44,11,FALSE
47,2.15,1.85,18,FALSE
40,0.92,6.15,9,FALSE
42,7.95,8.7,17,FALSE
14,7.25,1.5,9,TRUE
7,4.41,8.73,20,FALSE
23,9.25,1.8,18,TRUE
36,8.17,3.39,14,TRUE
26,7.66,6.16,20,FALSE
30,2.81,1.82,21,FALSE
34,7.51,7.95,11,FALSE
18,8.06,7.46,14,FALSE
30,8.39,0.66,17,TRUE
28,4.6,5.46,7,FALSE
42,5.43,4.48,14,FALSE
12,9.38,4.17,16,TRUE
38,4.16,5.19,7,FALSE
45,2.04,0.31,11,TRUE
30,5.45,6.06,12,FALSE
47,4.1,6.4,11,FALSE
44,7.94,5.59,12,TRUE
46,3.21,4.14,13,FALSE
28,1.87,0.17,16,TRUE
10,8.81,3.36,9,FALSE
3,8.45,5.64,20,FALSE
6,3.33,0.16,20,FALSE
43,9.51,7.96,7,TRUE
38,6.55,8.51,20,FALSE
17,2.23,8.09,12,FALSE
32,4.84,0.98,21,TRUE
47,1.55,0.98,16,FALSE
31,7.88,0.98,18,TRUE
45,4.26,4.21,13,FALSE
22,0.3,6.9,9,FALSE
5,1.05,1.47,17,FALSE
7,7.41,9.34,11,FALSE
9,1.93,6.76,7,FALSE
29,4.58,9.9,11,FALSE
33,5.88,6.38,21,FALSE
18,3.41,9.78,12,FALSE
11,3.24,2.41,20,FALSE
46,9.84,2.34,13,TRUE
8,8.15,8.71,8,FALSE
41,8.21,1.96,18,TRUE
35,5.68,2.78,15,TRUE
29,6.72,2.06,18,TRUE
10,6.67,3.02,14,FALSE
7,6.57,0.66,13,FALSE
37,2.23,5.34,17,FALSE
24,9.77,2.74,10,TRUE
34,0.92,4.23,8,FALSE
6,8.08,6.1,20,FALSE
15,9.44,8.57,17,FALSE
6,2.73,0.15,7,FALSE
23,5.64,4.94,21,FALSE
25,1.7,6.0,8,FALSE
24,4.18,6.35,10,FALSE
40,7.04,2.86,13,TRUE
31,0.89,1.79,10,FALSE
48,3.09,4.99,12,FALSE
1,8.98,2.89,10,FALSE
44,6.85,5.05,21,TRUE
34,5.48,7.25,13,FALSE
27,1.46,9.32,18,FALSE
5,2.98,3.79,13,FALSE
42,8.86,1.7,10,TRUE
37,9.6,4.49,13,TRUE
40,6.48,9.24,17,FALSE
5,9.42,8.9,17,FALSE
4,0.4,3.98,15,FALSE
15,6.23,7.44,17,FALSE
10,8.32,1.54,20,FALSE
35,0.66,6.41,13,FALSE
8,8.45,0.59,18,FALSE
6,4.87,4.32,8,FALSE
41,5.28,6.88,15,FALSE
48,8.96,1.76,20,TRUE
11,9.56,0.89,17,TRUE
31,9.87,7.53,12,TRUE
17,9.21,4.66,12,TRUE
3,5.65,2.81,17,FALSE
27,3.85,8.03,18,FALSE
0,5.38,3.44,18,FALSE
49,4.49,9.12,19,FALSE
29,8.61,7.72,10,FALSE
5,6.68,0.74,9,FALSE
30,7.67,4.94,18,TRUE
20,5.52,0.48,21,TRUE
2,7.83,3.34,14,FALSE
22,4.83,7.63,15,FALSE
22,6.92,8.01,13,FALSE
25,1.37,6.75,13,FALSE
36,1.5,5.06,10,FALSE
