day_of_week,date,hour_of_day,wait_time_minutes
Monday,2022-03-28,10,18.0
Monday,2022-03-28,11,29.0
Monday,2022-03-28,12,16.7
Monday,2022-03-28,13,7.6
Monday,2022-03-28,14,6.1
Monday,2022-03-28,15,13.5
Monday,2022-03-28,16,32.0
Monday,2022-03-28,17,29.0
Tuesday,2022-03-29,9,27.1
Tuesday,2022-03-29,10,22.4
Tuesday,2022-03-29,11,24.7
Tuesday,2022-03-29,12,19.2
Tuesday,2022-03-29,13,17.6
Tuesday,2022-03-29,14,21.3
Tuesday,2022-03-29,15,13.7
Tuesday,2022-03-29,16,22.4
Tuesday,2022-03-29,17,20.4
Wednesday,2022-03-30,9,12.4
Wednesday,2022-03-30,10,17.9
Wednesday,2022-03-30,11,19.3
Wednesday,2022-03-30,12,15.9
Wednesday,2022-03-30,13,5.9
Wednesday,2022-03-30,14,16.1
Wednesday,2022-03-30,15,9.0
Wednesday,2022-03-30,16,16.7
Wednesday,2022-03-30,17,30.6
Thursday,2022-03-31,9,25.2
Thursday,2022-03-31,10,25.9
Thursday,2022-03-31,11,33.1
Thursday,2022-03-31,12,23.3
Thursday,2022-03-31,13,7.8
Thursday,2022-03-31,14,5.0
Thursday,2022-03-31,15,28.8
Thursday,2022-03-31,16,17.4
Thursday,2022-03-31,17,14.3
Friday,2022-04-01,9,24.0
Friday,2022-04-01,10,20.5
Friday,2022-04-01,11,18.5
Friday,2022-04-01,12,21.5
Friday,2022-04-01,13,10.8
Friday,2022-04-01,14,16.0
Friday,2022-04-01,15,19.8
Friday,2022-04-01,16,22.3
Friday,2022-04-01,17,12.2
Saturday,2022-04-02,9,8.5
Saturday,2022-04-02,10,25.0
Saturday,2022-04-02,11,21.6
Saturday,2022-04-02,12,5.0
Saturday,2022-04-02,13,8.9
Saturday,2022-04-02,14,18.3
Saturday,2022-04-02,15,6.3
Saturday,2022-04-02,16,5.1
Saturday,2022-04-02,17,6.3
Sunday,2022-04-03,9,17.2
Sunday,2022-04-03,10,7.8
Sunday,2022-04-03,11,7.8
Sunday,2022-04-03,12,7.8
Sunday,2022-04-03,13,5.0
Sunday,2022-04-03,14,13.7
Sunday,2022-04-03,15,5.0
Sunday,2022-04-03,16,12.4
Sunday,2022-04-03,17,11.9
Monday,2022-04-04,9,33.6
Monday,2022-04-04,10,27.4
Monday,2022-04-04,11,13.0
Monday,2022-04-04,12,5.9
Monday,2022-04-04,13,12.2
Monday,2022-04-04,14,14.9
Monday,2022-04-04,15,25.8
Monday,2022-04-04,16,12.7
Monday,2022-04-04,17,6.4
Tuesday,2022-04-05,9,20.2
Tuesday,2022-04-05,10,18.4
Tuesday,2022-04-05,11,14.2
Tuesday,2022-04-05,12,12.0
Tuesday,2022-04-05,13,14.9
Tuesday,2022-04-05,14,27.5
Tuesday,2022-04-05,15,25.6
Tuesday,2022-04-05,16,17.0
Tuesday,2022-04-05,17,16.1
Wednesday,2022-04-06,9,13.5
Wednesday,2022-04-06,10,30.9
Wednesday,2022-04-06,11,26.1
Wednesday,2022-04-06,12,13.5
Wednesday,2022-04-06,13,16.7
Wednesday,2022-04-06,14,10.3
Wednesday,2022-04-06,15,5.3
Wednesday,2022-04-06,16,8.5
Wednesday,2022-04-06,17,27.7
Thursday,2022-04-07,9,13.9
Thursday,2022-04-07,10,17.5
Thursday,2022-04-07,11,23.5
Thursday,2022-04-07,12,16.3
Thursday,2022-04-07,13,7.5
Thursday,2022-04-07,14,17.1
Thursday,2022-04-07,15,23.5
Thursday,2022-04-07,16,8.8
Thursday,2022-04-07,17,21.4
Friday,2022-04-08,9,24.8
Friday,2022-04-08,10,23.0
Friday,2022-04-08,11,30.7
Friday,2022-04-08,12,14.1
Friday,2022-04-08,13,20.8
Friday,2022-04-08,14,6.1
Friday,2022-04-08,15,11.6
Friday,2022-04-08,16,15.5
Friday,2022-04-08,17,27.7
Saturday,2022-04-09,9,5.6
Saturday,2022-04-09,10,11.6
Saturday,2022-04-09,11,5.0
Saturday,2022-04-09,12,16.0
Saturday,2022-04-09,13,14.0
Saturday,2022-04-09,14,11.5
Saturday,2022-04-09,15,18.5
Saturday,2022-04-09,16,18.1
Saturday,2022-04-09,17,17.4
Sunday,2022-04-10,9,12.2
Sunday,2022-04-10,10,24.8
Sunday,2022-04-10,11,20.2
Sunday,2022-04-10,12,8.9
Sunday,2022-04-10,13,5.0
Sunday,2022-04-10,14,6.9
Sunday,2022-04-10,15,9.4
Sunday,2022-04-10,16,21.3
Sunday,2022-04-10,17,12.2
Monday,2022-04-11,9,21.3
Monday,2022-04-11,10,32.4
Monday,2022-04-11,11,20.1
Monday,2022-04-11,12,20.0
Monday,2022-04-11,13,13.9
Monday,2022-04-11,14,25.2
Monday,2022-04-11,15,14.3
Monday,2022-04-11,16,12.4
Monday,2022-04-11,17,29.7
Tuesday,2022-04-12,9,30.3
Tuesday,2022-04-12,10,29.9
Tuesday,2022-04-12,11,10.6
Tuesday,2022-04-12,12,17.5
Tuesday,2022-04-12,13,5.1
Tuesday,2022-04-12,14,15.2
Tuesday,2022-04-12,15,13.5
Tuesday,2022-04-12,16,26.4
Tuesday,2022-04-12,17,21.9
Wednesday,2022-04-13,9,31.3
Wednesday,2022-04-13,10,13.5
Wednesday,2022-04-13,11,30.8
Wednesday,2022-04-13,12,8.7
Wednesday,2022-04-13,13,16.3
Wednesday,2022-04-13,14,20.2
Wednesday,2022-04-13,15,13.3
Wednesday,2022-04-13,16,12.3
Wednesday,2022-04-13,17,21.2
Thursday,2022-04-14,9,25.2
Thursday,2022-04-14,10,24.2
Thursday,2022-04-14,11,8.4
Thursday,2022-04-14,12,19.7
Thursday,2022-04-14,13,12.2
Thursday,2022-04-14,14,9.8
Thursday,2022-04-14,15,23.3
Thursday,2022-04-14,16,7.3
Thursday,2022-04-14,17,16.9
Friday,2022-04-15,9,20.3
Friday,2022-04-15,10,31.6
Friday,2022-04-15,11,34.3
Friday,2022-04-15,12,20.1
Friday,2022-04-15,13,13.8
Friday,2022-04-15,14,8.6
Friday,2022-04-15,15,7.8
Friday,2022-04-15,16,6.5
Friday,2022-04-15,17,24.2
Saturday,2022-04-16,9,9.6
Saturday,2022-04-16,10,19.9
Saturday,2022-04-16,11,15.1
Saturday,2022-04-16,12,6.2
Saturday,2022-04-16,13,5.0
Saturday,2022-04-16,14,11.8
Saturday,2022-04-16,15,15.6
Saturday,2022-04-16,16,20.2
Saturday,2022-04-16,17,15.6
Sunday,2022-04-17,9,10.7
Sunday,2022-04-17,10,12.3
Sunday,2022-04-17,11,20.6
Sunday,2022-04-17,12,8.4
Sunday,2022-04-17,13,7.1
Sunday,2022-04-17,14,14.4
Sunday,2022-04-17,15,5.0
Sunday,2022-04-17,16,7.2
Sunday,2022-04-17,17,21.9
Monday,2022-04-18,9,34.9
Monday,2022-04-18,10,31.4
Monday,2022-04-18,11,14.3
Monday,2022-04-18,12,5.3
Monday,2022-04-18,13,8.9
Monday,2022-04-18,14,29.7
Monday,2022-04-18,15,16.4
Monday,2022-04-18,16,11.4
Monday,2022-04-18,17,18.3
Tuesday,2022-04-19,9,19.7
Tuesday,2022-04-19,10,35.5
Tuesday,2022-04-19,11,28.1
Tuesday,2022-04-19,12,5.0
Tuesday,2022-04-19,13,11.9
Tuesday,2022-04-19,14,11.8
Tuesday,2022-04-19,15,13.4
Tuesday,2022-04-19,16,24.8
Tuesday,2022-04-19,17,30.6
Wednesday,2022-04-20,9,27.4
Wednesday,2022-04-20,10,7.1
Wednesday,2022-04-20,11,31.7
Wednesday,2022-04-20,12,5.0
Wednesday,2022-04-20,13,14.2
Wednesday,2022-04-20,14,15.6
Wednesday,2022-04-20,15,20.3
Wednesday,2022-04-20,16,20.1
Wednesday,2022-04-20,17,12.3
Thursday,2022-04-21,9,24.4
Thursday,2022-04-21,10,13.5
Thursday,2022-04-21,11,7.6
Thursday,2022-04-21,12,11.8
Thursday,2022-04-21,13,9.1
Thursday,2022-04-21,14,8.2
Thursday,2022-04-21,15,9.9
Thursday,2022-04-21,16,24.3
Thursday,2022-04-21,17,8.0
Friday,2022-04-22,9,6.9
Friday,2022-04-22,10,12.3
Friday,2022-04-22,11,26.9
Friday,2022-04-22,12,20.8
Friday,2022-04-22,13,10.5
Friday,2022-04-22,14,24.5
Friday,2022-04-22,15,23.9
Friday,2022-04-22,16,29.0
Friday,2022-04-22,17,15.6
Saturday,2022-04-23,9,11.8
Saturday,2022-04-23,10,16.1
Saturday,2022-04-23,11,16.0
Saturday,2022-04-23,12,5.0
Saturday,2022-04-23,13,7.7
Saturday,2022-04-23,14,12.1
Saturday,2022-04-23,15,6.5
Saturday,2022-04-23,16,20.5
Saturday,2022-04-23,17,8.9
Sunday,2022-04-24,9,12.6
Sunday,2022-04-24,10,13.3
Sunday,2022-04-24,11,19.2
Sunday,2022-04-24,12,8.7
Sunday,2022-04-24,13,11.9
Sunday,2022-04-24,14,19.2
Sunday,2022-04-24,15,10.5
Sunday,2022-04-24,16,7.4
Sunday,2022-04-24,17,7.3
Monday,2022-04-25,9,10.2
Monday,2022-04-25,10,6.8
Monday,2022-04-25,11,24.3
Monday,2022-04-25,12,5.0
Monday,2022-04-25,13,6.1
Monday,2022-04-25,14,14.0
Monday,2022-04-25,15,19.7
Monday,2022-04-25,16,16.7
Monday,2022-04-25,17,27.4
Tuesday,2022-04-26,9,22.5
Tuesday,2022-04-26,10,35.4
Tuesday,2022-04-26,11,20.5
Tuesday,2022-04-26,12,21.6
Tuesday,2022-04-26,13,8.9
Tuesday,2022-04-26,14,11.1
Tuesday,2022-04-26,15,29.0
Tuesday,2022-04-26,16,5.5
Tuesday,2022-04-26,17,22.4
Wednesday,2022-04-27,9,24.0
Wednesday,2022-04-27,10,6.1
Wednesday,2022-04-27,11,15.8
Wednesday,2022-04-27,12,16.6
Wednesday,2022-04-27,13,14.3
Wednesday,2022-04-27,14,14.9
Wednesday,2022-04-27,15,27.0
Wednesday,2022-04-27,16,12.0
Wednesday,2022-04-27,17,7.0
Thursday,2022-04-28,9,26.7
Thursday,2022-04-28,10,34.0
Thursday,2022-04-28,11,20.1
Thursday,2022-04-28,12,5.1
Thursday,2022-04-28,13,6.9
Thursday,2022-04-28,14,13.5
Thursday,2022-04-28,15,22.4
Thursday,2022-04-28,16,27.9
Thursday,2022-04-28,17,15.0
Friday,2022-04-29,9,11.4
Friday,2022-04-29,10,14.1
Friday,2022-04-29,11,13.8
Friday,2022-04-29,12,5.0
Friday,2022-04-29,13,14.3
Friday,2022-04-29,14,20.6
Friday,2022-04-29,15,11.7
Friday,2022-04-29,16,8.7
Friday,2022-04-29,17,25.1
Saturday,2022-04-30,9,24.5
Saturday,2022-04-30,10,19.2
Saturday,2022-04-30,11,10.3
Saturday,2022-04-30,12,13.6
Saturday,2022-04-30,13,5.0
Saturday,2022-04-30,14,11.1
Saturday,2022-04-30,15,17.6
Saturday,2022-04-30,16,6.8
Saturday,2022-04-30,17,14.8
Sunday,2022-05-01,9,14.1
Sunday,2022-05-01,10,23.0
Sunday,2022-05-01,11,9.3
Sunday,2022-05-01,12,5.1
Sunday,2022-05-01,13,8.8
Sunday,2022-05-01,14,6.3
Sunday,2022-05-01,15,5.0
Sunday,2022-05-01,16,5.3
Sunday,2022-05-01,17,11.2
Monday,2022-05-02,9,24.4
Monday,2022-05-02,10,27.7
Monday,2022-05-02,11,14.4
Monday,2022-05-02,12,19.0
Monday,2022-05-02,13,13.8
Monday,2022-05-02,14,9.8
Monday,2022-05-02,15,19.3
Monday,2022-05-02,16,15.0
Monday,2022-05-02,17,27.6
Tuesday,2022-05-03,9,32.2
Tuesday,2022-05-03,10,21.8
Tuesday,2022-05-03,11,26.0
Tuesday,2022-05-03,12,17.4
Tuesday,2022-05-03,13,22.2
Tuesday,2022-05-03,14,14.3
Tuesday,2022-05-03,15,15.6
Tuesday,2022-05-03,16,6.0
Tuesday,2022-05-03,17,18.0
Wednesday,2022-05-04,9,8.5
Wednesday,2022-05-04,10,7.4
Wednesday,2022-05-04,11,15.4
Wednesday,2022-05-04,12,11.5
Wednesday,2022-05-04,13,19.7
Wednesday,2022-05-04,14,17.2
Wednesday,2022-05-04,15,14.8
Wednesday,2022-05-04,16,32.9
Wednesday,2022-05-04,17,17.8
Thursday,2022-05-05,9,13.0
Thursday,2022-05-05,10,35.1
Thursday,2022-05-05,11,17.8
Thursday,2022-05-05,12,7.0
Thursday,2022-05-05,13,16.5
Thursday,2022-05-05,14,5.2
Thursday,2022-05-05,15,6.0
Thursday,2022-05-05,16,24.5
Thursday,2022-05-05,17,22.7
Friday,2022-05-06,9,12.3
Friday,2022-05-06,10,8.3
Friday,2022-05-06,11,22.6
Friday,2022-05-06,12,15.8
Friday,2022-05-06,13,14.9
Friday,2022-05-06,14,15.2
Friday,2022-05-06,15,12.9
Friday,2022-05-06,16,16.7
Friday,2022-05-06,17,26.4
Saturday,2022-05-07,9,5.0
Saturday,2022-05-07,10,11.2
Saturday,2022-05-07,11,15.0
Saturday,2022-05-07,12,9.6
Saturday,2022-05-07,13,5.0
Saturday,2022-05-07,14,15.5
Saturday,2022-05-07,15,8.4
Saturday,2022-05-07,16,14.3
Saturday,2022-05-07,17,22.2
Sunday,2022-05-08,9,8.0
Sunday,2022-05-08,10,20.9
Sunday,2022-05-08,11,11.7
Sunday,2022-05-08,12,13.9
Sunday,2022-05-08,13,7.2
Sunday,2022-05-08,14,8.8
Sunday,2022-05-08,15,10.2
Sunday,2022-05-08,16,10.0
Sunday,2022-05-08,17,13.6
Monday,2022-05-09,9,6.2
Monday,2022-05-09,10,8.5
Monday,2022-05-09,11,31.9
Monday,2022-05-09,12,5.9
Monday,2022-05-09,13,10.4
Monday,2022-05-09,14,28.8
Monday,2022-05-09,15,13.1
Monday,2022-05-09,16,19.9
Monday,2022-05-09,17,21.6
Tuesday,2022-05-10,9,9.6
Tuesday,2022-05-10,10,7.5
Tuesday,2022-05-10,11,6.9
Tuesday,2022-05-10,12,15.3
Tuesday,2022-05-10,13,13.2
Tuesday,2022-05-10,14,15.2
Tuesday,2022-05-10,15,18.7
Tuesday,2022-05-10,16,16.5
Tuesday,2022-05-10,17,25.3
Wednesday,2022-05-11,9,30.4
Wednesday,2022-05-11,10,11.8
Wednesday,2022-05-11,11,14.0
Wednesday,2022-05-11,12,5.0
Wednesday,2022-05-11,13,18.8
Wednesday,2022-05-11,14,20.7
Wednesday,2022-05-11,15,27.5
Wednesday,2022-05-11,16,7.2
Wednesday,2022-05-11,17,15.5
Thursday,2022-05-12,9,25.4
Thursday,2022-05-12,10,15.7
Thursday,2022-05-12,11,28.6
Thursday,2022-05-12,12,19.5
Thursday,2022-05-12,13,22.9
Thursday,2022-05-12,14,12.6
Thursday,2022-05-12,15,10.5
Thursday,2022-05-12,16,17.7
Thursday,2022-05-12,17,23.1
Friday,2022-05-13,9,15.2
Friday,2022-05-13,10,31.8
Friday,2022-05-13,11,33.2
Friday,2022-05-13,12,11.1
Friday,2022-05-13,13,10.0
Friday,2022-05-13,14,21.3
Friday,2022-05-13,15,27.0
Friday,2022-05-13,16,12.1
Friday,2022-05-13,17,16.6
Saturday,2022-05-14,9,9.0
Saturday,2022-05-14,10,17.7
Saturday,2022-05-14,11,7.2
Saturday,2022-05-14,12,6.9
Saturday,2022-05-14,13,8.7
Saturday,2022-05-14,14,14.7
Saturday,2022-05-14,15,6.9
Saturday,2022-05-14,16,15.7
Saturday,2022-05-14,17,5.0
Sunday,2022-05-15,9,12.1
Sunday,2022-05-15,10,7.9
Sunday,2022-05-15,11,17.5
Sunday,2022-05-15,12,13.5
Sunday,2022-05-15,13,9.2
Sunday,2022-05-15,14,8.9
Sunday,2022-05-15,15,5.1
Sunday,2022-05-15,16,7.9
Sunday,2022-05-15,17,14.7
Monday,2022-05-16,9,33.8
Monday,2022-05-16,10,16.1
Monday,2022-05-16,11,17.5
Monday,2022-05-16,12,6.3
Monday,2022-05-16,13,13.9
Monday,2022-05-16,14,10.5
Monday,2022-05-16,15,22.7
Monday,2022-05-16,16,20.1
Monday,2022-05-16,17,8.1
Tuesday,2022-05-17,9,33.0
Tuesday,2022-05-17,10,19.2
Tuesday,2022-05-17,11,16.7
Tuesday,2022-05-17,12,5.0
Tuesday,2022-05-17,13,19.5
Tuesday,2022-05-17,14,29.1
Tuesday,2022-05-17,15,13.9
Tuesday,2022-05-17,16,25.2
Tuesday,2022-05-17,17,19.8
Wednesday,2022-05-18,9,34.4
Wednesday,2022-05-18,10,8.9
Wednesday,2022-05-18,11,14.1
Wednesday,2022-05-18,12,11.9
Wednesday,2022-05-18,13,23.5
Wednesday,2022-05-18,14,12.3
Wednesday,2022-05-18,15,16.5
Wednesday,2022-05-18,16,31.2
Wednesday,2022-05-18,17,8.5
Thursday,2022-05-19,9,23.4
Thursday,2022-05-19,10,31.3
Thursday,2022-05-19,11,9.2
Thursday,2022-05-19,12,13.7
Thursday,2022-05-19,13,14.1
Thursday,2022-05-19,14,5.2
Thursday,2022-05-19,15,23.5
Thursday,2022-05-19,16,29.9
Thursday,2022-05-19,17,11.8
Friday,2022-05-20,9,11.1
Friday,2022-05-20,10,24.7
Friday,2022-05-20,11,7.7
Friday,2022-05-20,12,14.0
Friday,2022-05-20,13,21.0
Friday,2022-05-20,14,14.4
Friday,2022-05-20,15,10.7
Friday,2022-05-20,16,6.6
Friday,2022-05-20,17,27.8
Saturday,2022-05-21,9,18.7
Saturday,2022-05-21,10,13.8
Saturday,2022-05-21,11,10.2
Saturday,2022-05-21,12,6.3
Saturday,2022-05-21,13,15.1
Saturday,2022-05-21,14,17.8
Saturday,2022-05-21,15,12.4
Saturday,2022-05-21,16,12.7
Saturday,2022-05-21,17,17.8
Sunday,2022-05-22,9,17.6
Sunday,2022-05-22,10,12.2
Sunday,2022-05-22,11,5.5
Sunday,2022-05-22,12,5.0
Sunday,2022-05-22,13,8.6
Sunday,2022-05-22,14,7.5
Sunday,2022-05-22,15,12.4
Sunday,2022-05-22,16,21.2
Sunday,2022-05-22,17,15.9
Monday,2022-05-23,9,26.0
Monday,2022-05-23,10,22.0
Monday,2022-05-23,11,28.4
Monday,2022-05-23,12,23.9
Monday,2022-05-23,13,9.2
Monday,2022-05-23,14,21.6
Monday,2022-05-23,15,8.7
Monday,2022-05-23,16,23.6
Monday,2022-05-23,17,13.8
Tuesday,2022-05-24,9,20.2
Tuesday,2022-05-24,10,35.8
Tuesday,2022-05-24,11,17.3
Tuesday,2022-05-24,12,21.3
Tuesday,2022-05-24,13,17.1
Tuesday,2022-05-24,14,7.1
Tuesday,2022-05-24,15,15.6
Tuesday,2022-05-24,16,9.6
Tuesday,2022-05-24,17,30.2
Wednesday,2022-05-25,9,12.5
Wednesday,2022-05-25,10,30.1
Wednesday,2022-05-25,11,16.2
Wednesday,2022-05-25,12,22.3
Wednesday,2022-05-25,13,20.3
Wednesday,2022-05-25,14,13.9
Wednesday,2022-05-25,15,24.0
Wednesday,2022-05-25,16,31.4
Wednesday,2022-05-25,17,30.5
Thursday,2022-05-26,9,15.4
Thursday,2022-05-26,10,11.4
Thursday,2022-05-26,11,32.3
Thursday,2022-05-26,12,19.7
Thursday,2022-05-26,13,9.3
Thursday,2022-05-26,14,11.1
Thursday,2022-05-26,15,11.0
Thursday,2022-05-26,16,21.2
Thursday,2022-05-26,17,22.4
Friday,2022-05-27,9,16.2
Friday,2022-05-27,10,14.1
Friday,2022-05-27,11,21.2
Friday,2022-05-27,12,5.0
Friday,2022-05-27,13,22.1
Friday,2022-05-27,14,27.8
Friday,2022-05-27,15,29.6
Friday,2022-05-27,16,28.3
Friday,2022-05-27,17,23.8
Saturday,2022-05-28,9,25.0
Saturday,2022-05-28,10,10.3
Saturday,2022-05-28,11,17.1
Saturday,2022-05-28,12,11.3
Saturday,2022-05-28,13,8.5
Saturday,2022-05-28,14,17.0
Saturday,2022-05-28,15,15.5
Saturday,2022-05-28,16,20.1
Saturday,2022-05-28,17,7.1
Sunday,2022-05-29,9,23.6
Sunday,2022-05-29,10,23.7
Sunday,2022-05-29,11,9.1
Sunday,2022-05-29,12,9.8
Sunday,2022-05-29,13,13.8
Sunday,2022-05-29,14,19.9
Sunday,2022-05-29,15,16.7
Sunday,2022-05-29,16,10.9
Sunday,2022-05-29,17,17.3
Monday,2022-05-30,9,24.4
Monday,2022-05-30,10,22.6
Monday,2022-05-30,11,21.3
Monday,2022-05-30,12,17.3
Monday,2022-05-30,13,12.0
Monday,2022-05-30,14,11.6
Monday,2022-05-30,15,28.1
Monday,2022-05-30,16,6.6
Monday,2022-05-30,17,32.0
Tuesday,2022-05-31,9,19.9
Tuesday,2022-05-31,10,26.5
Tuesday,2022-05-31,11,26.6
Tuesday,2022-05-31,12,11.3
Tuesday,2022-05-31,13,21.5
Tuesday,2022-05-31,14,28.2
Tuesday,2022-05-31,15,11.7
Tuesday,2022-05-31,16,32.1
Tuesday,2022-05-31,17,22.3
Wednesday,2022-06-01,9,33.2
Wednesday,2022-06-01,10,12.7
Wednesday,2022-06-01,11,18.8
Wednesday,2022-06-01,12,7.7
Wednesday,2022-06-01,13,7.8
Wednesday,2022-06-01,14,15.8
Wednesday,2022-06-01,15,9.9
Wednesday,2022-06-01,16,14.7
Wednesday,2022-06-01,17,10.3
Thursday,2022-06-02,9,31.3
Thursday,2022-06-02,10,21.0
Thursday,2022-06-02,11,17.2
Thursday,2022-06-02,12,13.2
Thursday,2022-06-02,13,15.7
Thursday,2022-06-02,14,6.9
Thursday,2022-06-02,15,20.8
Thursday,2022-06-02,16,10.4
Thursday,2022-06-02,17,6.4
Friday,2022-06-03,9,13.7
Friday,2022-06-03,10,30.0
Friday,2022-06-03,11,11.8
Friday,2022-06-03,12,14.3
Friday,2022-06-03,13,8.9
Friday,2022-06-03,14,7.7
Friday,2022-06-03,15,21.2
Friday,2022-06-03,16,12.6
Friday,2022-06-03,17,31.1
Saturday,2022-06-04,9,18.8
Saturday,2022-06-04,10,14.5
Saturday,2022-06-04,11,12.5
Saturday,2022-06-04,12,10.6
Saturday,2022-06-04,13,11.8
Saturday,2022-06-04,14,13.5
Saturday,2022-06-04,15,10.3
Saturday,2022-06-04,16,18.7
Saturday,2022-06-04,17,21.2
Sunday,2022-06-05,9,23.2
Sunday,2022-06-05,10,9.0
Sunday,2022-06-05,11,19.2
Sunday,2022-06-05,12,9.3
Sunday,2022-06-05,13,7.7
Sunday,2022-06-05,14,5.0
Sunday,2022-06-05,15,18.5
Sunday,2022-06-05,16,15.1
Sunday,2022-06-05,17,12.5
Monday,2022-06-06,9,16.0
Monday,2022-06-06,10,35.5
Monday,2022-06-06,11,16.2
Monday,2022-06-06,12,16.3
Monday,2022-06-06,13,19.3
Monday,2022-06-06,14,10.9
Monday,2022-06-06,15,6.4
Monday,2022-06-06,16,11.5
Monday,2022-06-06,17,29.3
Tuesday,2022-06-07,9,25.6
Tuesday,2022-06-07,10,25.4
Tuesday,2022-06-07,11,18.5
Tuesday,2022-06-07,12,14.3
Tuesday,2022-06-07,13,20.5
Tuesday,2022-06-07,14,7.4
Tuesday,2022-06-07,15,23.9
Tuesday,2022-06-07,16,8.6
Tuesday,2022-06-07,17,22.3
Wednesday,2022-06-08,9,7.2
Wednesday,2022-06-08,10,15.6
Wednesday,2022-06-08,11,34.1
Wednesday,2022-06-08,12,22.5
Wednesday,2022-06-08,13,5.4
Wednesday,2022-06-08,14,22.8
Wednesday,2022-06-08,15,25.3
Wednesday,2022-06-08,16,29.8
Wednesday,2022-06-08,17,8.3
Thursday,2022-06-09,9,9.7
Thursday,2022-06-09,10,17.8
Thursday,2022-06-09,11,17.6
Thursday,2022-06-09,12,23.7
Thursday,2022-06-09,13,19.7
Thursday,2022-06-09,14,25.7
Thursday,2022-06-09,15,14.9
Thursday,2022-06-09,16,16.4
Thursday,2022-06-09,17,10.0
Friday,2022-06-10,9,19.4
Friday,2022-06-10,10,15.9
Friday,2022-06-10,11,6.7
Friday,2022-06-10,12,17.8
Friday,2022-06-10,13,10.7
Friday,2022-06-10,14,25.7
Friday,2022-06-10,15,14.5
Friday,2022-06-10,16,22.1
Friday,2022-06-10,17,21.0
Saturday,2022-06-11,9,22.3
Saturday,2022-06-11,10,5.4
Saturday,2022-06-11,11,20.5
Saturday,2022-06-11,12,13.4
Saturday,2022-06-11,13,8.3
Saturday,2022-06-11,14,19.7
Saturday,2022-06-11,15,7.8
Saturday,2022-06-11,16,9.4
Saturday,2022-06-11,17,22.8
Sunday,2022-06-12,9,15.4
Sunday,2022-06-12,10,5.0
Sunday,2022-06-12,11,12.7
Sunday,2022-06-12,12,5.0
Sunday,2022-06-12,13,5.0
Sunday,2022-06-12,14,6.6
Sunday,2022-06-12,15,14.7
Sunday,2022-06-12,16,21.8
Sunday,2022-06-12,17,17.8
Monday,2022-06-13,9,6.3
Monday,2022-06-13,10,31.9
Monday,2022-06-13,11,26.1
Monday,2022-06-13,12,8.2
Monday,2022-06-13,13,17.6
Monday,2022-06-13,14,14.1
Monday,2022-06-13,15,15.1
Monday,2022-06-13,16,24.4
Monday,2022-06-13,17,30.2
Tuesday,2022-06-14,9,21.8
Tuesday,2022-06-14,10,23.8
Tuesday,2022-06-14,11,20.9
Tuesday,2022-06-14,12,6.3
Tuesday,2022-06-14,13,5.0
Tuesday,2022-06-14,14,5.1
Tuesday,2022-06-14,15,13.0
Tuesday,2022-06-14,16,27.5
Tuesday,2022-06-14,17,22.1
Wednesday,2022-06-15,9,8.3
Wednesday,2022-06-15,10,10.4
Wednesday,2022-06-15,11,34.3
Wednesday,2022-06-15,12,7.5
Wednesday,2022-06-15,13,23.3
Wednesday,2022-06-15,14,17.2
Wednesday,2022-06-15,15,28.1
Wednesday,2022-06-15,16,30.1
Wednesday,2022-06-15,17,17.3
Thursday,2022-06-16,9,22.8
Thursday,2022-06-16,10,9.9
Thursday,2022-06-16,11,30.2
Thursday,2022-06-16,12,15.0
Thursday,2022-06-16,13,17.2
Thursday,2022-06-16,14,9.1
Thursday,2022-06-16,15,25.0
Thursday,2022-06-16,16,26.1
Thursday,2022-06-16,17,26.8
Friday,2022-06-17,9,33.1
Friday,2022-06-17,10,28.8
Friday,2022-06-17,11,32.1
Friday,2022-06-17,12,7.8
Friday,2022-06-17,13,5.3
Friday,2022-06-17,14,9.8
Friday,2022-06-17,15,28.3
Friday,2022-06-17,16,7.0
Friday,2022-06-17,17,30.5
Saturday,2022-06-18,9,21.6
Saturday,2022-06-18,10,7.5
Saturday,2022-06-18,11,20.4
Saturday,2022-06-18,12,7.2
Saturday,2022-06-18,13,11.7
Saturday,2022-06-18,14,11.8
Saturday,2022-06-18,15,14.6
Saturday,2022-06-18,16,23.0
Saturday,2022-06-18,17,13.7
Sunday,2022-06-19,9,14.0
Sunday,2022-06-19,10,24.9
Sunday,2022-06-19,11,11.9
Sunday,2022-06-19,12,5.4
Sunday,2022-06-19,13,5.5
Sunday,2022-06-19,14,17.3
Sunday,2022-06-19,15,7.1
Sunday,2022-06-19,16,5.0
Sunday,2022-06-19,17,10.8
Monday,2022-06-20,9,12.6
Monday,2022-06-20,10,13.7
Monday,2022-06-20,11,34.1
Monday,2022-06-20,12,20.2
Monday,2022-06-20,13,16.5
Monday,2022-06-20,14,28.4
Monday,2022-06-20,15,23.7
Monday,2022-06-20,16,24.9
Monday,2022-06-20,17,29.9
Tuesday,2022-06-21,9,24.4
Tuesday,2022-06-21,10,17.2
Tuesday,2022-06-21,11,24.7
Tuesday,2022-06-21,12,20.6
Tuesday,2022-06-21,13,5.0
Tuesday,2022-06-21,14,26.8
Tuesday,2022-06-21,15,5.1
Tuesday,2022-06-21,16,19.2
Tuesday,2022-06-21,17,14.2
Wednesday,2022-06-22,9,35.9
Wednesday,2022-06-22,10,19.2
Wednesday,2022-06-22,11,8.1
